別冊図書館戦争,1,"有川, 浩, 1972-",角川書店,KH67,2011.7,9784043898091
図書館革命,,"有川, 浩, 1972-",角川書店,KH67,2011.6,9784043898084
図書館内乱,,"有川, 浩, 1972-",角川書店,KH67,2011.4,9784043898060
一九八四年,,"Orwell, George, 1903-1950",早川書房,KS166,2009.7,9784151200533
ハーモニー,,"伊藤, 計劃, 1974-2009",早川書房,KH225,2010.12,9784150310196
図書館危機,,"有川, 浩, 1972-",角川書店,KH67,2011.5,9784043898077
アーモンド入りチョコレートのワルツ,,"森, 絵都, 1968-",角川書店,KH372,2005.6,9784043791019
白河夜船,,"吉本, ばなな, 1964-",新潮社,KH747,2002.1,9784101359175
占星術殺人事件,,"島田, 荘司, 1948-",講談社,KH924,2013.8,9784062775038
地球へ…,3,"竹宮, 恵子, 1950-",中央公論社,726.1,1995.1,9784122022416
地球へ…,2,"竹宮, 恵子, 1950-",中央公論社,726.1,1995.1,9784122022409
地球へ…,1,"竹宮, 恵子, 1950-",中央公論社,726.1,1995.1,9784122022393
"フライ,ダディ,フライ",,"金城, 一紀, 1968-",角川書店,KH248,2009.4,9784043852031
Go,,"金城, 一紀, 1968-",角川書店,KH248,2007.6,9784043852017
淵の王,,"舞城, 王太郎, 1973-",新潮社,KH867,2017.12,9784101186382
公正的戦闘規範,,"藤井, 太洋, 1971-",早川書房,KH824,2017.8,9784150312909
下流志向 : 学ばない子どもたち働かない若者たち,,"内田, 樹, 1950-",講談社,青少年問題--日本,2009.7,9784062763998
動物農場,,"Orwell, George, 1903-1950",筑摩書房,KS166,2013.9,9784480431035
ダブル・ジョーカー,,"柳, 広司, 1967-",角川書店,KH728,2012.6,9784041003282
ジョーカー・ゲーム,,"柳, 広司, 1967-",角川書店,KH728,2011.6,9784043829064
パラダイス・ロスト,,"柳, 広司, 1967-",角川書店,KH954,2013.6,9784041008263
キケン,,"有川, 浩, 1972-",新潮社,KH811,2013.7,9784101276328
異セカイ系,,"名倉, 編",講談社,KH884,2018.8,9784065125557
地の星 : 流転の海第2部,,"宮本, 輝, 1947-",新潮社,KH366,1996.3,9784101307510
血脈の火,,"宮本, 輝, 1947-",新潮社,KH366,1999.1,9784101307527
レッド・クイーン,3,"Aveyard, Victoria",ハーパーコリンズ・ジャパン,KS179,2019.1,9784596541024
彼女は一人で歩くのか?,,"森, 博嗣, 1957-",講談社,KH877,2015.1,9784062940030
The 2nd Combustion = 燃焼,The 2nd Combustion-燃焼,"冲方, 丁",早川書房,913.6,2010.1,9784150310158
The 1st Compression = 圧縮,The 1st Compression-圧縮,"冲方, 丁",早川書房,913.6,2010.1,9784150310141
"デボラ、眠っているのか？ : Deborah, are you sleeping?",,"森, 博嗣, 1957-",講談社,KH877,2016.10.18,9784062940375
レヴォリューションno.3,,"金城, 一紀, 1968-",角川書店,KH248,2008.9,9784043852024
SPEED,,"金城, 一紀, 1968-",角川書店,KH248,2011.6,9784043852055
ゴシック・神々の黄昏,上,"桜庭, 一樹",角川書店,913.6,2011.6-2011.7,9784044281243
ミステリー・アリーナ,,"深水, 黎一郎",講談社,KH824,2018.6,9784065118078
独白するユニバーサル横メルカトル,,"平山, 夢明, 1961-",光文社,KH145,2009.1,9784334745264
クイズ長嶋茂雄,,チームねじめ正一,光文社,"長島, 茂雄, 1936-",2000.1,9784334972776
人間の顔は食べづらい,,"白井, 智之, 1990-",KADOKAWA,KH924,2017.8,9784041056134
